编号,名称,分类,Emoji,描述,原始数据
306,"桃花劫体质","玄学运势","⚡","来的都不是正缘，全是来教你认清人性的老师。","{""name"":""桃花劫体质"",""category"":""玄学运势"",""emoji"":""⚡"",""description"":""来的都不是正缘，全是来教你认清人性的老师。""}"
307,"恋爱躺平学家","职场发疯","🛌","主动是不可能主动的，全靠命运把对象砸我头上。","{""name"":""恋爱躺平学家"",""category"":""职场发疯"",""emoji"":""🛌"",""description"":""主动是不可能主动的，全靠命运把对象砸我头上。""}"
308,"前任纪念品博物馆","情感离谱","🏛️","有些东西扔不掉，不是舍不得，是懒得收拾。","{""name"":""前任纪念品博物馆"",""category"":""情感离谱"",""emoji"":""🏛️"",""description"":""有些东西扔不掉，不是舍不得，是懒得收拾。""}"
309,"单身保命指南作者","趣味整活","📖","熟练掌握一个人吃火锅、看电影、去医院等生存技能。","{""name"":""单身保命指南作者"",""category"":""趣味整活"",""emoji"":""📖"",""description"":""熟练掌握一个人吃火锅、看电影、去医院等生存技能。""}"
310,"恋爱脑格式化失败","性格搞怪","💾","每次删完聊天记录和照片，过几天又偷偷从回收站恢复。","{""name"":""恋爱脑格式化失败"",""category"":""性格搞怪"",""emoji"":""💾"",""description"":""每次删完聊天记录和照片，过几天又偷偷从回收站恢复。""}"
311,"确诊为蜗牛","性格搞怪","🐌","能不出门就不出门，出门要背满家当，有人靠近就缩壳","{""name"":""确诊为蜗牛"",""category"":""性格搞怪"",""emoji"":""🐌"",""description"":""能不出门就不出门，出门要背满家当，有人靠近就缩壳""}"
312,"消息已读不回","性格搞怪","📱","看到消息先放放，想着等会回，转头就忘到九霄云外","{""name"":""消息已读不回"",""category"":""性格搞怪"",""emoji"":""📱"",""description"":""看到消息先放放，想着等会回，转头就忘到九霄云外""}"
313,"聚会隐形人","性格搞怪","🥷","聚餐挑角落坐，拍照往最后排躲，就怕有人突然cue自己","{""name"":""聚会隐形人"",""category"":""性格搞怪"",""emoji"":""🥷"",""description"":""聚餐挑角落坐，拍照往最后排躲，就怕有人突然cue自己""}"
314,"耳机焊在耳朵上","性格搞怪","🎧","出门必戴耳机，没耳机连买个早餐都觉得浑身不自在","{""name"":""耳机焊在耳朵上"",""category"":""性格搞怪"",""emoji"":""🎧"",""description"":""出门必戴耳机，没耳机连买个早餐都觉得浑身不自在""}"
315,"道歉型人格","性格搞怪","🙇","别人碰了自己都要先说对不起，啥错都先往自己身上揽","{""name"":""道歉型人格"",""category"":""性格搞怪"",""emoji"":""🙇"",""description"":""别人碰了自己都要先说对不起，啥错都先往自己身上揽""}"
316,"线上疯批线下怂","性格搞怪","🤡","网上打字比谁都快，现实里跟陌生人说话都磕巴","{""name"":""线上疯批线下怂"",""category"":""性格搞怪"",""emoji"":""🤡"",""description"":""网上打字比谁都快，现实里跟陌生人说话都磕巴""}"
317,"奶茶选糖纠结症","性格搞怪","🥤","点奶茶选糖度能选三分钟，选完还会后悔是不是选甜了","{""name"":""奶茶选糖纠结症"",""category"":""性格搞怪"",""emoji"":""🥤"",""description"":""点奶茶选糖度能选三分钟，选完还会后悔是不是选甜了""}"
318,"赖床十级学者","性格搞怪","🛌","闹钟响了能关八次，不到最后一分钟绝对不起床","{""name"":""赖床十级学者"",""category"":""性格搞怪"",""emoji"":""🛌"",""description"":""闹钟响了能关八次，不到最后一分钟绝对不起床""}"
319,"表情包当饭吃","性格搞怪","😎","聊天先翻表情包库，没有合适的图都不知道怎么回消息","{""name"":""表情包当饭吃"",""category"":""性格搞怪"",""emoji"":""😎"",""description"":""聊天先翻表情包库，没有合适的图都不知道怎么回消息""}"
320,"MBTI行走说明书","趣味整活","📋","新认识人先问MBTI，比查星座还熟练，什么类型都能唠两句","{""name"":""MBTI行走说明书"",""category"":""趣味整活"",""emoji"":""📋"",""description"":""新认识人先问MBTI，比查星座还熟练，什么类型都能唠两句""}"
321,"取快递伪装大师","趣味整活","📦","下楼取快递要戴帽子戴口罩，就怕碰到半熟的人要打招呼","{""name"":""取快递伪装大师"",""category"":""趣味整活"",""emoji"":""📦"",""description"":""下楼取快递要戴帽子戴口罩，就怕碰到半熟的人要打招呼""}"
322,"沙发土豆转世","趣味整活","🥔","休息日能在沙发上躺一天，除了上厕所连屁股都不挪一下","{""name"":""沙发土豆转世"",""category"":""趣味整活"",""emoji"":""🥔"",""description"":""休息日能在沙发上躺一天，除了上厕所连屁股都不挪一下""}"
323,"废话文学大师","趣味整活","🗣️","听君一席话如听一席话，张口就是没用的大实话","{""name"":""废话文学大师"",""category"":""趣味整活"",""emoji"":""🗣️"",""description"":""听君一席话如听一席话，张口就是没用的大实话""}"
324,"海底捞社恐选手","趣味整活","🍲","去海底捞不敢跟服务员对视，就怕他们过来递毛巾送小礼物","{""name"":""海底捞社恐选手"",""category"":""趣味整活"",""emoji"":""🍲"",""description"":""去海底捞不敢跟服务员对视，就怕他们过来递毛巾送小礼物""}"
325,"熬夜冠军守门员","趣味整活","🌙","每天都发誓要早睡，躺床上刷手机刷到两点还精神","{""name"":""熬夜冠军守门员"",""category"":""趣味整活"",""emoji"":""🌙"",""description"":""每天都发誓要早睡，躺床上刷手机刷到两点还精神""}"
326,"外卖备注小作文","趣味整活","✍️","点外卖备注能写三行，多放辣少放葱不要餐具写得清清楚楚","{""name"":""外卖备注小作文"",""category"":""趣味整活"",""emoji"":""✍️"",""description"":""点外卖备注能写三行，多放辣少放葱不要餐具写得清清楚楚""}"
327,"相册全是截图","趣味整活","🖼️","手机相册一万张图，九千张是聊天记录和表情包截图","{""name"":""相册全是截图"",""category"":""趣味整活"",""emoji"":""🖼️"",""description"":""手机相册一万张图，九千张是聊天记录和表情包截图""}"
328,"外卖永远点同款","逆天知识","🍱","找到一家合口味的外卖，能连续点半个月不换样","{""name"":""外卖永远点同款"",""category"":""逆天知识"",""emoji"":""🍱"",""description"":""找到一家合口味的外卖，能连续点半个月不换样""}"
329,"历史人物同款懒","逆天知识","📜","跟王阳明一样拖延，跟李白一样爱喝酒，普通人也有历史同款特质","{""name"":""历史人物同款懒"",""category"":""逆天知识"",""emoji"":""📜"",""description"":""跟王阳明一样拖延，跟李白一样爱喝酒，普通人也有历史同款特质""}"
330,"睡觉姿势测命格","逆天知识","🛏️","喜欢蜷缩睡是缺乏安全感，大字睡是天生乐天派，你的姿势对应啥命","{""name"":""睡觉姿势测命格"",""category"":""逆天知识"",""emoji"":""🛏️"",""description"":""喜欢蜷缩睡是缺乏安全感，大字睡是天生乐天派，你的姿势对应啥命""}"
331,"收藏夹吃灰达人","逆天知识","📁","看到干货就收藏，收藏了等于学会了，再也没打开过第二遍","{""name"":""收藏夹吃灰达人"",""category"":""逆天知识"",""emoji"":""📁"",""description"":""看到干货就收藏，收藏了等于学会了，再也没打开过第二遍""}"
332,"洗发水用到底才换","逆天知识","🧴","日用品非要用到挤不出来才买新的，囤货等于永远用旧的","{""name"":""洗发水用到底才换"",""category"":""逆天知识"",""emoji"":""🧴"",""description"":""日用品非要用到挤不出来才买新的，囤货等于永远用旧的""}"
333,"微信步数判行踪","逆天知识","🚶","看朋友微信步数就知道他今天上没上班，出没出门，比定位还准","{""name"":""微信步数判行踪"",""category"":""逆天知识"",""emoji"":""🚶"",""description"":""看朋友微信步数就知道他今天上没上班，出没出门，比定位还准""}"
334,"听歌品味测年龄","逆天知识","🎵","歌单里占比最高的歌发行年份，基本就是你中学的年份","{""name"":""听歌品味测年龄"",""category"":""逆天知识"",""emoji"":""🎵"",""description"":""歌单里占比最高的歌发行年份，基本就是你中学的年份""}"
335,"上辈子是守门石狮子","玄学运势","🦁","就喜欢在工位上坐着，不爱动也不爱说话，谁来都多看两眼","{""name"":""上辈子是守门石狮子"",""category"":""玄学运势"",""emoji"":""🦁"",""description"":""就喜欢在工位上坐着，不爱动也不爱说话，谁来都多看两眼""}"
336,"投胎当小区流浪猫","玄学运势","🐱","下辈子不用上班，每天晒晒太阳睡睡觉，还有好心人喂罐头","{""name"":""投胎当小区流浪猫"",""category"":""玄学运势"",""emoji"":""🐱"",""description"":""下辈子不用上班，每天晒晒太阳睡睡觉，还有好心人喂罐头""}"
337,"前世是驿站喂马的","玄学运势","🐎","这辈子就爱给同事取快递带外卖，跑腿的活干得比谁都熟","{""name"":""前世是驿站喂马的"",""category"":""玄学运势"",""emoji"":""🐎"",""description"":""这辈子就爱给同事取快递带外卖，跑腿的活干得比谁都熟""}"
338,"今日摸鱼运势","玄学运势","🐟","测测今天摸鱼会不会被老板抓，适合刷手机还是带薪拉屎","{""name"":""今日摸鱼运势"",""category"":""玄学运势"",""emoji"":""🐟"",""description"":""测测今天摸鱼会不会被老板抓，适合刷手机还是带薪拉屎""}"
339,"灵气值剩余检测","玄学运势","✨","上班上久了灵气都没了，看看你还剩多少没被工作磨掉","{""name"":""灵气值剩余检测"",""category"":""玄学运势"",""emoji"":""✨"",""description"":""上班上久了灵气都没了，看看你还剩多少没被工作磨掉""}"
340,"月老红线缠脚了","玄学运势","🧵","桃花运迟迟不来，原来月老的红线全缠你脚腕上打了结","{""name"":""月老红线缠脚了"",""category"":""玄学运势"",""emoji"":""🧵"",""description"":""桃花运迟迟不来，原来月老的红线全缠你脚腕上打了结""}"
341,"下辈子做冰箱","玄学运势","🧊","天天凉飕飕的，不用上班，里面还全是好吃的","{""name"":""下辈子做冰箱"",""category"":""玄学运势"",""emoji"":""🧊"",""description"":""天天凉飕飕的，不用上班，里面还全是好吃的""}"
342,"暗恋等死型选手","情感离谱","💘","喜欢一个人绝对不主动，就等着对方来跟自己表白，等黄了也不说","{""name"":""暗恋等死型选手"",""category"":""情感离谱"",""emoji"":""💘"",""description"":""喜欢一个人绝对不主动，就等着对方来跟自己表白，等黄了也不说""}"
343,"社交电池10%","情感离谱","🔋","出门社交两小时就得回家躺半天，电用完了谁叫都不出去","{""name"":""社交电池10%"",""category"":""情感离谱"",""emoji"":""🔋"",""description"":""出门社交两小时就得回家躺半天，电用完了谁叫都不出去""}"
344,"恋爱脑晚期患者","情感离谱","🧠","一谈恋爱就智商为零，对方说啥都信，撞了南墙都不回头","{""name"":""恋爱脑晚期患者"",""category"":""情感离谱"",""emoji"":""🧠"",""description"":""一谈恋爱就智商为零，对方说啥都信，撞了南墙都不回头""}"
345,"把天聊死小能手","情感离谱","💬","别人抛过来的梗接不住，说两句话就冷场，自己还没察觉","{""name"":""把天聊死小能手"",""category"":""情感离谱"",""emoji"":""💬"",""description"":""别人抛过来的梗接不住，说两句话就冷场，自己还没察觉""}"
346,"朋友圈三天可见","情感离谱","🕒","发完朋友圈过半天就觉得尴尬，赶紧设成三天可见，删都懒得删","{""name"":""朋友圈三天可见"",""category"":""情感离谱"",""emoji"":""🕒"",""description"":""发完朋友圈过半天就觉得尴尬，赶紧设成三天可见，删都懒得删""}"
347,"闺蜜恋爱军师","情感离谱","军师","给朋友分析感情头头是道，轮到自己谈恋爱啥也不是","{""name"":""闺蜜恋爱军师"",""category"":""情感离谱"",""emoji"":""军师"",""description"":""给朋友分析感情头头是道，轮到自己谈恋爱啥也不是""}"
348,"开会灵魂出窍","职场发疯","👻","开会坐在第一排，眼神盯着老板，脑子已经在想晚上吃啥了","{""name"":""开会灵魂出窍"",""category"":""职场发疯"",""emoji"":""👻"",""description"":""开会坐在第一排，眼神盯着老板，脑子已经在想晚上吃啥了""}"
349,"下班跑的比谁都快","职场发疯","🏃","下班铃一响第一个冲出去，电脑都来不及关，就怕老板临时加活","{""name"":""下班跑的比谁都快"",""category"":""职场发疯"",""emoji"":""🏃"",""description"":""下班铃一响第一个冲出去，电脑都来不及关，就怕老板临时加活""}"
350,"工位零食库管理员","职场发疯","🍪","工位抽屉里全是零食，自己没吃多少，全被同事分完了","{""name"":""工位零食库管理员"",""category"":""职场发疯"",""emoji"":""🍪"",""description"":""工位抽屉里全是零食，自己没吃多少，全被同事分完了""}"
351,"改方案改到吐","职场发疯","🤮","甲方爸爸要改第八版方案，改到最后还是第一版最好","{""name"":""改方案改到吐"",""category"":""职场发疯"",""emoji"":""🤮"",""description"":""甲方爸爸要改第八版方案，改到最后还是第一版最好""}"
352,"群聊潜水截图党","职场发疯","🤫","公司大群从来不说话，天天窥屏存同事发的表情包，转头就用","{""name"":""群聊潜水截图党"",""category"":""职场发疯"",""emoji"":""🤫"",""description"":""公司大群从来不说话，天天窥屏存同事发的表情包，转头就用""}"
353,"周一综合症重度","职场发疯","😫","周日晚上就开始emo，周一早上坐在工位上魂还在家里","{""name"":""周一综合症重度"",""category"":""职场发疯"",""emoji"":""😫"",""description"":""周日晚上就开始emo，周一早上坐在工位上魂还在家里""}"
354,"工资到账即清空","职场发疯","💸","工资刚发下来，还完花呗信用卡房租，剩下的钱够吃泡面就不错","{""name"":""工资到账即清空"",""category"":""职场发疯"",""emoji"":""💸"",""description"":""工资刚发下来，还完花呗信用卡房租，剩下的钱够吃泡面就不错""}"
355,"拖延二级残废","性格搞怪","🐌","deadline前半小时才开始敲键盘，早一分钟都动不了手","{""name"":""拖延二级残废"",""category"":""性格搞怪"",""emoji"":""🐌"",""description"":""deadline前半小时才开始敲键盘，早一分钟都动不了手""}"
356,"外卖选择困难户","性格搞怪","🍱","十一点开始刷外卖，刷到十二点半还没决定吃黄焖鸡还是麻辣烫","{""name"":""外卖选择困难户"",""category"":""性格搞怪"",""emoji"":""🍱"",""description"":""十一点开始刷外卖，刷到十二点半还没决定吃黄焖鸡还是麻辣烫""}"
357,"网购剁手达人","趣味整活","🛒","拆快递比发工资还开心，花呗账单出来才想起来自己买过这玩意","{""name"":""网购剁手达人"",""category"":""趣味整活"",""emoji"":""🛒"",""description"":""拆快递比发工资还开心，花呗账单出来才想起来自己买过这玩意""}"
358,"上辈子是驿站囤货员","玄学运势","📦","每天都有快递到，驿站老板都能直接喊出你名字","{""name"":""上辈子是驿站囤货员"",""category"":""玄学运势"",""emoji"":""📦"",""description"":""每天都有快递到，驿站老板都能直接喊出你名字""}"
359,"开会摸鱼段位鉴定","职场发疯","💻","领导在上面讲规划，你在下面刷宠物视频憋笑憋到抖肩","{""name"":""开会摸鱼段位鉴定"",""category"":""职场发疯"",""emoji"":""💻"",""description"":""领导在上面讲规划，你在下面刷宠物视频憋笑憋到抖肩""}"
360,"emo文案收藏家","情感离谱","📝","手机备忘录里存了三十条伤感文案，没一条好意思发朋友圈","{""name"":""emo文案收藏家"",""category"":""情感离谱"",""emoji"":""📝"",""description"":""手机备忘录里存了三十条伤感文案，没一条好意思发朋友圈""}"
361,"外卖口味考古学家","逆天知识","🍜","能准确说出公司周边三公里内每家外卖的辣度偏咸还是偏淡","{""name"":""外卖口味考古学家"",""category"":""逆天知识"",""emoji"":""🍜"",""description"":""能准确说出公司周边三公里内每家外卖的辣度偏咸还是偏淡""}"
362,"下班倒计时选手","职场发疯","⏰","离下班还有十分钟就收拾好包，领导一喊加班脸直接垮下来","{""name"":""下班倒计时选手"",""category"":""职场发疯"",""emoji"":""⏰"",""description"":""离下班还有十分钟就收拾好包，领导一喊加班脸直接垮下来""}"
363,"深夜网抑云常驻嘉宾","情感离谱","🎵","歌单里全是伤感情歌，循环到三点还在想他为什么不回消息","{""name"":""深夜网抑云常驻嘉宾"",""category"":""情感离谱"",""emoji"":""🎵"",""description"":""歌单里全是伤感情歌，循环到三点还在想他为什么不回消息""}"
364,"凑单小能手","趣味整活","🧮","为了满减凑了三个没用的东西，算下来比单买还贵五块","{""name"":""凑单小能手"",""category"":""趣味整活"",""emoji"":""🧮"",""description"":""为了满减凑了三个没用的东西，算下来比单买还贵五块""}"
365,"明日复明日信徒","性格搞怪","📅","今天的事永远推明天，明天推后天，到截止日才通宵赶工","{""name"":""明日复明日信徒"",""category"":""性格搞怪"",""emoji"":""📅"",""description"":""今天的事永远推明天，明天推后天，到截止日才通宵赶工""}"
366,"下辈子当外卖试吃员","玄学运势","🥡","这辈子吃了上千家外卖，投胎就想干不用花钱吃外卖的活","{""name"":""下辈子当外卖试吃员"",""category"":""玄学运势"",""emoji"":""🥡"",""description"":""这辈子吃了上千家外卖，投胎就想干不用花钱吃外卖的活""}"
367,"工位隐形摸鱼人","职场发疯","🪑","电脑页面永远开着工作文档，其实最小化窗口是小说页面","{""name"":""工位隐形摸鱼人"",""category"":""职场发疯"",""emoji"":""🪑"",""description"":""电脑页面永远开着工作文档，其实最小化窗口是小说页面""}"
368,"无用商品收藏家","性格搞怪","🎁","家里堆了二十个没用的手机壳、十根没拆的口红，看见好看的还是想买","{""name"":""无用商品收藏家"",""category"":""性格搞怪"",""emoji"":""🎁"",""description"":""家里堆了二十个没用的手机壳、十根没拆的口红，看见好看的还是想买""}"
369,"外卖备注十级学者","逆天知识","✍️","知道写“多放辣老板我是你老乡”比“多放辣”得到的辣椒多三倍","{""name"":""外卖备注十级学者"",""category"":""逆天知识"",""emoji"":""✍️"",""description"":""知道写“多放辣老板我是你老乡”比“多放辣”得到的辣椒多三倍""}"
370,"拖延症阎王薄记载","玄学运势","📓","阎王让你三更走，你拖到五更还在说“再等我刷完这条抖音”","{""name"":""拖延症阎王薄记载"",""category"":""玄学运势"",""emoji"":""📓"",""description"":""阎王让你三更走，你拖到五更还在说“再等我刷完这条抖音”""}"
371,"工作群潜水冠军","职场发疯","🤿","领导发红包第一个抢，让汇报工作第一个装看不见","{""name"":""工作群潜水冠军"",""category"":""职场发疯"",""emoji"":""🤿"",""description"":""领导发红包第一个抢，让汇报工作第一个装看不见""}"
372,"深夜食欲控制失败","情感离谱","🍕","十点说要减肥，十二点就点了烧烤加冰可乐，边吃边骂自己没出息","{""name"":""深夜食欲控制失败"",""category"":""情感离谱"",""emoji"":""🍕"",""description"":""十点说要减肥，十二点就点了烧烤加冰可乐，边吃边骂自己没出息""}"
373,"快递拆箱仪式爱好者","趣味整活","✂️","拆快递必须录开箱视频，哪怕买的是九块九包邮的袜子","{""name"":""快递拆箱仪式爱好者"",""category"":""趣味整活"",""emoji"":""✂️"",""description"":""拆快递必须录开箱视频，哪怕买的是九块九包邮的袜子""}"
374,"万年踩点上班选手","性格搞怪","🚇","闹钟定七个，最后一个响了才弹起来，踩着打卡铃最后一秒冲进公司","{""name"":""万年踩点上班选手"",""category"":""性格搞怪"",""emoji"":""🚇"",""description"":""闹钟定七个，最后一个响了才弹起来，踩着打卡铃最后一秒冲进公司""}"
375,"乾隆同款外卖品味","逆天知识","👑","跟乾隆下江南就爱吃那几样菜一样，外卖翻来覆去只点吃过的三家","{""name"":""乾隆同款外卖品味"",""category"":""逆天知识"",""emoji"":""👑"",""description"":""跟乾隆下江南就爱吃那几样菜一样，外卖翻来覆去只点吃过的三家""}"
376,"摸鱼功德积累器","玄学运势","🙏","上班摸鱼一分钟，来世多享一分钟福，越摸功德越厚","{""name"":""摸鱼功德积累器"",""category"":""玄学运势"",""emoji"":""🙏"",""description"":""上班摸鱼一分钟，来世多享一分钟福，越摸功德越厚""}"
377,"购物车囤货大师","趣味整活","🛍️","购物车加了八十件东西，每次大促才舍得删两件，剩下的继续躺一年","{""name"":""购物车囤货大师"",""category"":""趣味整活"",""emoji"":""🛍️"",""description"":""购物车加了八十件东西，每次大促才舍得删两件，剩下的继续躺一年""}"
378,"下班失联专业户","职场发疯","📴","下班打卡第一件事关工作通知，领导发消息第二天早上才说“不好意思刚看见”","{""name"":""下班失联专业户"",""category"":""职场发疯"",""emoji"":""📴"",""description"":""下班打卡第一件事关工作通知，领导发消息第二天早上才说“不好意思刚看见”""}"
379,"emo秒删选手","情感离谱","🗑️","凌晨两点发了条伤感朋友圈，七点醒了光速删掉，生怕同事看见","{""name"":""emo秒删选手"",""category"":""情感离谱"",""emoji"":""🗑️"",""description"":""凌晨两点发了条伤感朋友圈，七点醒了光速删掉，生怕同事看见""}"
380,"deadline战神","性格搞怪","⚔️","平时摸鱼摸得欢，截止日前一天能爆发出平时三倍的工作效率","{""name"":""deadline战神"",""category"":""性格搞怪"",""emoji"":""⚔️"",""description"":""平时摸鱼摸得欢，截止日前一天能爆发出平时三倍的工作效率""}"
381,"外卖满减计算器","逆天知识","🧮","点外卖能精准凑到满减门槛，多一分钱都不愿意花","{""name"":""外卖满减计算器"",""category"":""逆天知识"",""emoji"":""🧮"",""description"":""点外卖能精准凑到满减门槛，多一分钱都不愿意花""}"
382,"上辈子是囤货松鼠","玄学运势","🐿️","家里纸巾囤了半年的量，洗衣液堆了三瓶，不囤东西就没安全感","{""name"":""上辈子是囤货松鼠"",""category"":""玄学运势"",""emoji"":""🐿️"",""description"":""家里纸巾囤了半年的量，洗衣液堆了三瓶，不囤东西就没安全感""}"
383,"开会走神选手","职场发疯","🤤","领导讲项目的时候你在想晚上吃什么，散会了连主题都记不住","{""name"":""开会走神选手"",""category"":""职场发疯"",""emoji"":""🤤"",""description"":""领导讲项目的时候你在想晚上吃什么，散会了连主题都记不住""}"
384,"深夜回忆杀患者","情感离谱","📸","大半夜翻三年前的朋友圈、QQ空间，边看边尴尬到抠脚","{""name"":""深夜回忆杀患者"",""category"":""情感离谱"",""emoji"":""📸"",""description"":""大半夜翻三年前的朋友圈、QQ空间，边看边尴尬到抠脚""}"
385,"退货小能手","趣味整活","🚚","十个快递能退八个，快递员都知道你家地址上门取件不用打电话","{""name"":""退货小能手"",""category"":""趣味整活"",""emoji"":""🚚"",""description"":""十个快递能退八个，快递员都知道你家地址上门取件不用打电话""}"
386,"选择性拖延症","性格搞怪","🤷","工作拖到天荒地老，朋友喊吃饭跑的比谁都快","{""name"":""选择性拖延症"",""category"":""性格搞怪"",""emoji"":""🤷"",""description"":""工作拖到天荒地老，朋友喊吃饭跑的比谁都快""}"
387,"外卖差评鉴赏家","逆天知识","⭐","点外卖先看差评，能从差评里准确判断这家是不是真的难吃","{""name"":""外卖差评鉴赏家"",""category"":""逆天知识"",""emoji"":""⭐"",""description"":""点外卖先看差评，能从差评里准确判断这家是不是真的难吃""}"
388,"摸鱼转世锦鲤","玄学运势","🐠","每次摸鱼刷视频都刚好避开领导查岗，运气好到离谱","{""name"":""摸鱼转世锦鲤"",""category"":""玄学运势"",""emoji"":""🐠"",""description"":""每次摸鱼刷视频都刚好避开领导查岗，运气好到离谱""}"
389,"上班带饭零存活","职场发疯","🍱","前一天晚上信誓旦旦要带饭，早上起晚了直接扔冰箱，转头还是点外卖","{""name"":""上班带饭零存活"",""category"":""职场发疯"",""emoji"":""🍱"",""description"":""前一天晚上信誓旦旦要带饭，早上起晚了直接扔冰箱，转头还是点外卖""}"
390,"网购买同款狂魔","性格搞怪","👕","碰到好穿的袜子直接买五双同款，好用的笔一次性买十根","{""name"":""网购买同款狂魔"",""category"":""性格搞怪"",""emoji"":""👕"",""description"":""碰到好穿的袜子直接买五双同款，好用的笔一次性买十根""}"
391,"深夜哲学大师","趣味整活","🤔","一到晚上就思考人生意义、宇宙起源，天亮了照样爬起来上班","{""name"":""深夜哲学大师"",""category"":""趣味整活"",""emoji"":""🤔"",""description"":""一到晚上就思考人生意义、宇宙起源，天亮了照样爬起来上班""}"
392,"古代拖延症身份","逆天知识","🏯","放在古代你就是迟迟不肯上朝的皇帝，百官等你两小时还在被窝","{""name"":""古代拖延症身份"",""category"":""逆天知识"",""emoji"":""🏯"",""description"":""放在古代你就是迟迟不肯上朝的皇帝，百官等你两小时还在被窝""}"
393,"下辈子当收租婆","玄学运势","💸","这辈子班都上够了，下辈子就想每天躺着收租，不用看领导脸色","{""name"":""下辈子当收租婆"",""category"":""玄学运势"",""emoji"":""💸"",""description"":""这辈子班都上够了，下辈子就想每天躺着收租，不用看领导脸色""}"
394,"外卖催单大师","情感离谱","📞","外卖迟到五分钟就开始催单，骑手还有两百米就站在楼下等","{""name"":""外卖催单大师"",""category"":""情感离谱"",""emoji"":""📞"",""description"":""外卖迟到五分钟就开始催单，骑手还有两百米就站在楼下等""}"
